state,district,village,scheme,allocated_fund,used_fund,year,work_type
Uttar Pradesh,Jaipur,Sikandrabad,NRLM,2891703,2192182,2023-2024,Road Construction
Uttar Pradesh,Indore,Noorpur,Jal Jeevan Mission,4250671,473096,2022-2023,Road Construction
Uttar Pradesh,Jaipur,Hapur Road Village,PMAY-G,3482391,1680855,2022-2023,Road Construction
Uttar Pradesh,Jaipur,Noorpur,MGNREGA,944309,887731,2022-2023,Road Construction
Uttar Pradesh,Ghaziabad,Noorpur,Swachh Bharat,673636,559539,2023-2024,Water Supply
Uttar Pradesh,Pune,Modinagar Rural,NRLM,3784539,483231,2024-2025,Water Supply
Uttar Pradesh,Indore,Dhaulana,Swachh Bharat,763590,655039,2024-2025,Sanitation
Uttar Pradesh,Ghaziabad,Bhojpur,Jal Jeevan Mission,629290,391282,2023-2024,Housing
Uttar Pradesh,Pune,Noorpur,MGNREGA,2132486,901127,2024-2025,Road Construction
Uttar Pradesh,Jaipur,Muradnagar Village,Jal Jeevan Mission,1185026,204143,2022-2023,Road Construction
Uttar Pradesh,Patna,Muradnagar Village,MGNREGA,4476836,3623259,2023-2024,Sanitation
Uttar Pradesh,Pune,Noorpur,NRLM,4355175,3984884,2023-2024,Housing
Uttar Pradesh,Patna,Loni Dehat,PMAY-G,3869811,1665372,2023-2024,Road Construction
Uttar Pradesh,Pune,Dhaulana,MGNREGA,729650,370172,2024-2025,Livelihood
Uttar Pradesh,Pune,Bhojpur,NRLM,2594699,782255,2024-2025,Road Construction
Uttar Pradesh,Indore,Kavi Nagar,Swachh Bharat,3275607,2588677,2024-2025,Housing
Uttar Pradesh,Pune,Modinagar Rural,MGNREGA,783709,491191,2022-2023,Sanitation
Uttar Pradesh,Jaipur,Muradnagar Village,Jal Jeevan Mission,2642641,489170,2022-2023,Housing
Uttar Pradesh,Indore,Muradnagar Village,Swachh Bharat,3869047,3195964,2024-2025,Livelihood
Uttar Pradesh,Ghaziabad,Noorpur,Swachh Bharat,4307431,3483748,2024-2025,Sanitation
Uttar Pradesh,Patna,Kavi Nagar,Swachh Bharat,2939848,2414631,2023-2024,Housing
Uttar Pradesh,Jaipur,Sikandrabad,NRLM,3879542,1611650,2023-2024,Sanitation
Uttar Pradesh,Pune,Hapur Road Village,NRLM,4321066,2920622,2023-2024,Housing
Uttar Pradesh,Patna,Hapur Road Village,PMAY-G,3581335,1100551,2022-2023,Livelihood
Uttar Pradesh,Indore,Noorpur,Jal Jeevan Mission,4342843,497924,2023-2024,Road Construction
Uttar Pradesh,Pune,Loni Dehat,NRLM,2936233,1530302,2024-2025,Sanitation
Uttar Pradesh,Indore,Modinagar Rural,MGNREGA,3055776,2826035,2024-2025,Water Supply
Uttar Pradesh,Indore,Muradnagar Village,Swachh Bharat,1278848,1270199,2024-2025,Water Supply
Uttar Pradesh,Patna,Sikandrabad,NRLM,3510516,3502707,2024-2025,Sanitation
Uttar Pradesh,Jaipur,Modinagar Rural,NRLM,2830335,835053,2022-2023,Road Construction
Uttar Pradesh,Pune,Dasna,NRLM,2224676,1393348,2023-2024,Livelihood
Uttar Pradesh,Jaipur,Bhojpur,Jal Jeevan Mission,721318,428065,2022-2023,Housing
Uttar Pradesh,Pune,Loni Dehat,PMAY-G,867077,862467,2023-2024,Water Supply
Uttar Pradesh,Jaipur,Dasna,MGNREGA,1655624,218410,2022-2023,Housing
Uttar Pradesh,Jaipur,Hapur Road Village,Jal Jeevan Mission,3060372,1441381,2023-2024,Water Supply
Uttar Pradesh,Pune,Modinagar Rural,Jal Jeevan Mission,3389359,1103433,2024-2025,Housing
Uttar Pradesh,Patna,Muradnagar Village,MGNREGA,4433831,1824741,2024-2025,Road Construction
Uttar Pradesh,Patna,Sikandrabad,MGNREGA,3228400,795413,2024-2025,Water Supply
Uttar Pradesh,Indore,Modinagar Rural,MGNREGA,4429729,1638364,2022-2023,Sanitation
Uttar Pradesh,Patna,Bhojpur,MGNREGA,844434,725719,2023-2024,Livelihood
Uttar Pradesh,Pune,Muradnagar Village,MGNREGA,3115598,2641615,2022-2023,Housing
Uttar Pradesh,Indore,Sikandrabad,NRLM,4957787,2563252,2023-2024,Housing
Uttar Pradesh,Pune,Dasna,MGNREGA,767521,583068,2023-2024,Housing
Uttar Pradesh,Patna,Loni Dehat,Swachh Bharat,2113261,1790139,2024-2025,Water Supply
Uttar Pradesh,Pune,Loni Dehat,NRLM,3110351,1069668,2024-2025,Road Construction
Uttar Pradesh,Pune,Dasna,NRLM,2695051,262954,2022-2023,Sanitation
Uttar Pradesh,Indore,Sikandrabad,MGNREGA,4294103,2576885,2023-2024,Water Supply
Uttar Pradesh,Indore,Muradnagar Village,Jal Jeevan Mission,856613,252427,2022-2023,Sanitation
Uttar Pradesh,Ghaziabad,Sikandrabad,NRLM,2562377,1328473,2022-2023,Sanitation
Uttar Pradesh,Pune,Loni Dehat,Jal Jeevan Mission,3776480,1484051,2024-2025,Water Supply
Uttar Pradesh,Ghaziabad,Hapur Road Village,Jal Jeevan Mission,1487319,658577,2024-2025,Housing
Uttar Pradesh,Indore,Hapur Road Village,PMAY-G,3768957,1503879,2024-2025,Livelihood
Uttar Pradesh,Pune,Noorpur,Jal Jeevan Mission,1247743,1139598,2024-2025,Livelihood
Uttar Pradesh,Patna,Hapur Road Village,MGNREGA,2596422,688024,2023-2024,Livelihood
Uttar Pradesh,Patna,Bhojpur,Swachh Bharat,4533040,2498511,2023-2024,Livelihood
Uttar Pradesh,Ghaziabad,Loni Dehat,MGNREGA,4235154,337345,2024-2025,Sanitation
Uttar Pradesh,Ghaziabad,Kavi Nagar,PMAY-G,2650289,1790928,2022-2023,Water Supply
Uttar Pradesh,Pune,Kavi Nagar,MGNREGA,4035266,3851124,2022-2023,Road Construction
Uttar Pradesh,Pune,Hapur Road Village,PMAY-G,4885610,557235,2022-2023,Sanitation
Uttar Pradesh,Pune,Sikandrabad,NRLM,1044070,1003047,2024-2025,Road Construction
Uttar Pradesh,Ghaziabad,Muradnagar Village,MGNREGA,4983866,887801,2022-2023,Housing
Uttar Pradesh,Jaipur,Kavi Nagar,Jal Jeevan Mission,1823684,546072,2023-2024,Housing
Uttar Pradesh,Jaipur,Hapur Road Village,NRLM,2450137,1909512,2024-2025,Sanitation
Uttar Pradesh,Pune,Loni Dehat,PMAY-G,2874770,2075102,2024-2025,Sanitation
Uttar Pradesh,Ghaziabad,Loni Dehat,NRLM,4624900,2800821,2022-2023,Sanitation
Uttar Pradesh,Patna,Dhaulana,Swachh Bharat,4107795,1108281,2024-2025,Road Construction
Uttar Pradesh,Jaipur,Dasna,Swachh Bharat,2254622,1262053,2023-2024,Livelihood
Uttar Pradesh,Indore,Bhojpur,MGNREGA,1930873,764237,2023-2024,Sanitation
Uttar Pradesh,Ghaziabad,Noorpur,Jal Jeevan Mission,2457929,1796074,2022-2023,Livelihood
Uttar Pradesh,Ghaziabad,Modinagar Rural,PMAY-G,4460547,280871,2022-2023,Housing
Uttar Pradesh,Indore,Hapur Road Village,NRLM,816002,780763,2024-2025,Livelihood
Uttar Pradesh,Patna,Dhaulana,MGNREGA,4518827,699280,2024-2025,Sanitation
Uttar Pradesh,Pune,Noorpur,PMAY-G,4249653,3857939,2023-2024,Road Construction
Uttar Pradesh,Ghaziabad,Noorpur,Swachh Bharat,1725736,968307,2024-2025,Road Construction
Uttar Pradesh,Ghaziabad,Bhojpur,NRLM,3867659,552962,2022-2023,Sanitation
Uttar Pradesh,Pune,Hapur Road Village,NRLM,4741098,1830027,2024-2025,Housing
Uttar Pradesh,Ghaziabad,Noorpur,Swachh Bharat,2025265,1192928,2023-2024,Livelihood
Uttar Pradesh,Pune,Dasna,Jal Jeevan Mission,4337992,3394537,2023-2024,Sanitation
Uttar Pradesh,Ghaziabad,Bhojpur,NRLM,2326177,1602990,2023-2024,Sanitation
Uttar Pradesh,Jaipur,Muradnagar Village,Swachh Bharat,2219314,744369,2023-2024,Road Construction
Uttar Pradesh,Indore,Noorpur,MGNREGA,2796981,1208309,2024-2025,Housing
Uttar Pradesh,Indore,Bhojpur,Swachh Bharat,3338625,227598,2022-2023,Livelihood
Uttar Pradesh,Patna,Hapur Road Village,NRLM,1969545,1957009,2022-2023,Livelihood
Uttar Pradesh,Jaipur,Bhojpur,MGNREGA,4584970,2845709,2023-2024,Road Construction
Uttar Pradesh,Indore,Noorpur,PMAY-G,3964723,288047,2023-2024,Sanitation
Uttar Pradesh,Pune,Hapur Road Village,MGNREGA,2681695,539879,2024-2025,Sanitation
Uttar Pradesh,Indore,Modinagar Rural,PMAY-G,3413355,396749,2022-2023,Livelihood
Uttar Pradesh,Ghaziabad,Loni Dehat,NRLM,1648184,762189,2024-2025,Livelihood
Uttar Pradesh,Pune,Sikandrabad,Jal Jeevan Mission,3068409,839917,2024-2025,Road Construction
Uttar Pradesh,Indore,Muradnagar Village,MGNREGA,3707957,2292827,2023-2024,Housing
Uttar Pradesh,Indore,Noorpur,NRLM,3094442,446548,2022-2023,Livelihood
Uttar Pradesh,Patna,Loni Dehat,MGNREGA,4478432,2778194,2024-2025,Water Supply
Uttar Pradesh,Indore,Bhojpur,NRLM,2738516,1527319,2022-2023,Housing
Uttar Pradesh,Indore,Kavi Nagar,NRLM,2484646,911289,2023-2024,Road Construction
Uttar Pradesh,Patna,Muradnagar Village,PMAY-G,2021101,1210919,2023-2024,Housing
Uttar Pradesh,Indore,Dasna,PMAY-G,2773062,2230999,2024-2025,Road Construction
Uttar Pradesh,Patna,Muradnagar Village,NRLM,1336087,458696,2023-2024,Sanitation
Uttar Pradesh,Pune,Loni Dehat,Swachh Bharat,1124513,778280,2023-2024,Housing
Uttar Pradesh,Jaipur,Dhaulana,Jal Jeevan Mission,1657248,1367079,2022-2023,Road Construction
Uttar Pradesh,Indore,Sikandrabad,Jal Jeevan Mission,4253689,3453180,2023-2024,Livelihood
Uttar Pradesh,Jaipur,Kavi Nagar,MGNREGA,3260046,745853,2024-2025,Livelihood
Uttar Pradesh,Jaipur,Dhaulana,NRLM,1146539,896834,2023-2024,Water Supply
Uttar Pradesh,Pune,Kavi Nagar,PMAY-G,2384151,1222539,2024-2025,Sanitation
Uttar Pradesh,Indore,Dhaulana,Jal Jeevan Mission,4461979,641167,2023-2024,Sanitation
Uttar Pradesh,Ghaziabad,Loni Dehat,PMAY-G,1792913,763374,2022-2023,Road Construction
Uttar Pradesh,Indore,Dhaulana,NRLM,4325011,4108077,2022-2023,Livelihood
Uttar Pradesh,Jaipur,Dasna,Jal Jeevan Mission,3497730,2114820,2022-2023,Water Supply
Uttar Pradesh,Indore,Loni Dehat,NRLM,3114995,790589,2022-2023,Livelihood
Uttar Pradesh,Jaipur,Dhaulana,Swachh Bharat,4337287,2952272,2023-2024,Road Construction
Uttar Pradesh,Patna,Dasna,Swachh Bharat,4389118,1608439,2024-2025,Sanitation
Uttar Pradesh,Patna,Hapur Road Village,Swachh Bharat,4795017,4215120,2024-2025,Road Construction
Uttar Pradesh,Jaipur,Kavi Nagar,Jal Jeevan Mission,4248735,1342261,2023-2024,Road Construction
Uttar Pradesh,Ghaziabad,Loni Dehat,Swachh Bharat,3044773,1598246,2022-2023,Sanitation
Uttar Pradesh,Pune,Hapur Road Village,NRLM,1483156,957677,2022-2023,Livelihood
Uttar Pradesh,Ghaziabad,Hapur Road Village,Swachh Bharat,4646872,722341,2022-2023,Water Supply
Uttar Pradesh,Ghaziabad,Kavi Nagar,NRLM,3205368,1373301,2023-2024,Water Supply
Uttar Pradesh,Indore,Bhojpur,Jal Jeevan Mission,1312081,425531,2023-2024,Sanitation
Uttar Pradesh,Ghaziabad,Noorpur,MGNREGA,1428765,483518,2023-2024,Water Supply
Uttar Pradesh,Patna,Modinagar Rural,PMAY-G,4627907,3684384,2023-2024,Housing
Uttar Pradesh,Ghaziabad,Muradnagar Village,Swachh Bharat,2198369,829057,2024-2025,Sanitation
Uttar Pradesh,Jaipur,Sikandrabad,Swachh Bharat,4491141,2898836,2024-2025,Livelihood
Uttar Pradesh,Ghaziabad,Hapur Road Village,Jal Jeevan Mission,4591050,3321126,2024-2025,Livelihood
Uttar Pradesh,Ghaziabad,Sikandrabad,MGNREGA,4244593,1796822,2022-2023,Livelihood
Uttar Pradesh,Indore,Dasna,PMAY-G,4957382,3276528,2023-2024,Sanitation
Uttar Pradesh,Patna,Modinagar Rural,Jal Jeevan Mission,4962644,2020844,2024-2025,Sanitation
Uttar Pradesh,Patna,Hapur Road Village,PMAY-G,3078595,2424867,2022-2023,Livelihood
Uttar Pradesh,Ghaziabad,Muradnagar Village,NRLM,4661591,2681888,2023-2024,Sanitation
Uttar Pradesh,Pune,Dhaulana,MGNREGA,4722732,638989,2023-2024,Sanitation
Uttar Pradesh,Indore,Dasna,NRLM,694242,322091,2022-2023,Livelihood
Uttar Pradesh,Indore,Loni Dehat,Jal Jeevan Mission,1510136,1108689,2022-2023,Housing
Uttar Pradesh,Pune,Dasna,PMAY-G,1655053,1054567,2022-2023,Livelihood
Uttar Pradesh,Indore,Sikandrabad,Swachh Bharat,1201565,1061696,2024-2025,Road Construction
Uttar Pradesh,Jaipur,Loni Dehat,MGNREGA,2233468,202827,2023-2024,Livelihood
Uttar Pradesh,Ghaziabad,Noorpur,Jal Jeevan Mission,4388953,2467898,2024-2025,Livelihood
Uttar Pradesh,Pune,Hapur Road Village,NRLM,2102147,985865,2023-2024,Water Supply
Uttar Pradesh,Patna,Muradnagar Village,Swachh Bharat,3244677,2438874,2023-2024,Housing
Uttar Pradesh,Patna,Sikandrabad,MGNREGA,2674140,1037408,2022-2023,Housing
Uttar Pradesh,Patna,Sikandrabad,Jal Jeevan Mission,2426782,1882357,2023-2024,Sanitation
Uttar Pradesh,Indore,Dhaulana,MGNREGA,4762686,1521085,2023-2024,Sanitation
Uttar Pradesh,Patna,Hapur Road Village,NRLM,3978849,3410504,2024-2025,Sanitation
Uttar Pradesh,Pune,Noorpur,Swachh Bharat,2929929,1069505,2023-2024,Sanitation
Uttar Pradesh,Ghaziabad,Loni Dehat,MGNREGA,3580492,2999071,2023-2024,Water Supply
Uttar Pradesh,Patna,Noorpur,PMAY-G,2235780,830139,2022-2023,Livelihood
Uttar Pradesh,Indore,Bhojpur,Swachh Bharat,2301471,1947119,2022-2023,Housing
Uttar Pradesh,Indore,Dhaulana,NRLM,2912856,2659501,2024-2025,Livelihood
Uttar Pradesh,Indore,Loni Dehat,PMAY-G,1041079,950253,2023-2024,Housing
Uttar Pradesh,Ghaziabad,Sikandrabad,PMAY-G,806035,566270,2024-2025,Livelihood
Uttar Pradesh,Ghaziabad,Kavi Nagar,MGNREGA,1959068,1436201,2023-2024,Livelihood
Uttar Pradesh,Patna,Dhaulana,MGNREGA,2071114,537514,2022-2023,Sanitation
Uttar Pradesh,Pune,Bhojpur,PMAY-G,3919428,2925130,2022-2023,Road Construction
Uttar Pradesh,Indore,Hapur Road Village,Swachh Bharat,2912004,2284756,2024-2025,Housing
Uttar Pradesh,Pune,Noorpur,Swachh Bharat,1592806,534474,2024-2025,Water Supply
Uttar Pradesh,Indore,Sikandrabad,Swachh Bharat,4057368,2912592,2022-2023,Livelihood
Uttar Pradesh,Jaipur,Dasna,NRLM,4168398,3719496,2022-2023,Sanitation
Uttar Pradesh,Pune,Noorpur,Jal Jeevan Mission,4365190,4053019,2024-2025,Road Construction
Uttar Pradesh,Jaipur,Bhojpur,NRLM,1706121,997864,2024-2025,Housing
Uttar Pradesh,Indore,Hapur Road Village,Jal Jeevan Mission,2427369,1795809,2024-2025,Housing
Uttar Pradesh,Patna,Muradnagar Village,Jal Jeevan Mission,813819,469045,2024-2025,Road Construction
Uttar Pradesh,Ghaziabad,Noorpur,Swachh Bharat,610158,397261,2023-2024,Housing
Uttar Pradesh,Indore,Noorpur,PMAY-G,3164877,2497756,2023-2024,Road Construction
Uttar Pradesh,Indore,Sikandrabad,Jal Jeevan Mission,511086,417268,2024-2025,Sanitation
Uttar Pradesh,Ghaziabad,Kavi Nagar,NRLM,4884692,4692644,2024-2025,Housing
Uttar Pradesh,Patna,Hapur Road Village,Jal Jeevan Mission,2425444,882203,2022-2023,Housing
Uttar Pradesh,Ghaziabad,Dhaulana,PMAY-G,2652717,2443934,2022-2023,Housing
Uttar Pradesh,Patna,Muradnagar Village,NRLM,3192158,1063731,2024-2025,Housing
Uttar Pradesh,Pune,Bhojpur,MGNREGA,3567336,610976,2022-2023,Livelihood
Uttar Pradesh,Ghaziabad,Dhaulana,Swachh Bharat,1276140,1029764,2023-2024,Livelihood
Uttar Pradesh,Pune,Hapur Road Village,PMAY-G,1495568,1050168,2024-2025,Sanitation
Uttar Pradesh,Indore,Muradnagar Village,NRLM,4917621,3654104,2023-2024,Livelihood
Uttar Pradesh,Patna,Kavi Nagar,Swachh Bharat,1118973,280682,2023-2024,Sanitation
Uttar Pradesh,Ghaziabad,Loni Dehat,Swachh Bharat,4526313,3491383,2023-2024,Housing
Uttar Pradesh,Pune,Dhaulana,NRLM,3868699,1307148,2022-2023,Housing
Uttar Pradesh,Pune,Hapur Road Village,PMAY-G,1113625,857448,2022-2023,Housing
Uttar Pradesh,Ghaziabad,Sikandrabad,Jal Jeevan Mission,1765063,470694,2022-2023,Livelihood
Uttar Pradesh,Jaipur,Loni Dehat,PMAY-G,1927475,1168457,2024-2025,Sanitation
Uttar Pradesh,Indore,Dasna,Swachh Bharat,4201356,365061,2024-2025,Road Construction
Uttar Pradesh,Jaipur,Noorpur,NRLM,3406959,2590975,2022-2023,Livelihood
Uttar Pradesh,Pune,Bhojpur,MGNREGA,3175476,2499406,2024-2025,Housing
Uttar Pradesh,Jaipur,Kavi Nagar,PMAY-G,3201317,1288526,2023-2024,Sanitation
Uttar Pradesh,Jaipur,Modinagar Rural,Jal Jeevan Mission,4421601,3136678,2023-2024,Sanitation
Uttar Pradesh,Jaipur,Noorpur,NRLM,4121767,1080828,2023-2024,Livelihood
Uttar Pradesh,Ghaziabad,Hapur Road Village,NRLM,781743,315284,2022-2023,Livelihood
Uttar Pradesh,Ghaziabad,Kavi Nagar,Swachh Bharat,4583593,2844755,2024-2025,Livelihood
Uttar Pradesh,Ghaziabad,Sikandrabad,PMAY-G,2770527,725265,2024-2025,Water Supply
Uttar Pradesh,Indore,Bhojpur,Jal Jeevan Mission,1862684,1376367,2024-2025,Livelihood
Uttar Pradesh,Pune,Modinagar Rural,Swachh Bharat,3506819,3290764,2023-2024,Water Supply
Uttar Pradesh,Patna,Dasna,Jal Jeevan Mission,815033,759546,2024-2025,Sanitation
Uttar Pradesh,Indore,Modinagar Rural,MGNREGA,777731,381324,2023-2024,Sanitation
Uttar Pradesh,Indore,Muradnagar Village,Jal Jeevan Mission,1186854,1157174,2023-2024,Water Supply
Uttar Pradesh,Pune,Bhojpur,Swachh Bharat,4436901,286986,2023-2024,Road Construction
Uttar Pradesh,Ghaziabad,Loni Dehat,PMAY-G,1996185,1311093,2024-2025,Sanitation
Uttar Pradesh,Indore,Bhojpur,NRLM,3435147,3269674,2022-2023,Road Construction
Uttar Pradesh,Indore,Bhojpur,Jal Jeevan Mission,4894501,4214590,2022-2023,Livelihood
Uttar Pradesh,Pune,Dasna,PMAY-G,4687992,3231085,2022-2023,Livelihood
Uttar Pradesh,Patna,Loni Dehat,NRLM,1897592,1480057,2022-2023,Livelihood
Uttar Pradesh,Indore,Dhaulana,Swachh Bharat,3572463,1846390,2022-2023,Sanitation
Uttar Pradesh,Jaipur,Loni Dehat,NRLM,2656757,254192,2024-2025,Livelihood
Uttar Pradesh,Pune,Hapur Road Village,PMAY-G,4719629,1416183,2023-2024,Road Construction
Uttar Pradesh,Patna,Noorpur,Jal Jeevan Mission,3644039,1212631,2024-2025,Housing
Uttar Pradesh,Ghaziabad,Dasna,NRLM,954676,812913,2023-2024,Housing
Uttar Pradesh,Indore,Sikandrabad,PMAY-G,1002659,383304,2024-2025,Sanitation
Uttar Pradesh,Patna,Loni Dehat,Jal Jeevan Mission,2939678,329986,2022-2023,Sanitation
Uttar Pradesh,Jaipur,Bhojpur,Jal Jeevan Mission,2540094,2441199,2022-2023,Road Construction
Uttar Pradesh,Patna,Dasna,PMAY-G,1655376,736724,2024-2025,Livelihood
Uttar Pradesh,Patna,Modinagar Rural,Jal Jeevan Mission,2613600,1650728,2022-2023,Sanitation
Uttar Pradesh,Patna,Noorpur,PMAY-G,1555317,1288658,2024-2025,Livelihood
Uttar Pradesh,Patna,Loni Dehat,PMAY-G,1371367,397269,2022-2023,Road Construction
Uttar Pradesh,Pune,Sikandrabad,Jal Jeevan Mission,3060123,1477726,2024-2025,Housing
Uttar Pradesh,Ghaziabad,Bhojpur,PMAY-G,4549604,4482632,2023-2024,Housing
Uttar Pradesh,Patna,Dhaulana,PMAY-G,994228,393376,2022-2023,Housing
Uttar Pradesh,Pune,Muradnagar Village,MGNREGA,591794,218050,2022-2023,Sanitation
Uttar Pradesh,Jaipur,Noorpur,Swachh Bharat,4768175,2534346,2023-2024,Housing
Uttar Pradesh,Jaipur,Hapur Road Village,Swachh Bharat,3970803,3639384,2024-2025,Water Supply
Uttar Pradesh,Patna,Kavi Nagar,MGNREGA,1346257,678807,2023-2024,Water Supply
Uttar Pradesh,Ghaziabad,Sikandrabad,NRLM,1374861,1326208,2023-2024,Road Construction
Uttar Pradesh,Jaipur,Kavi Nagar,Jal Jeevan Mission,3692927,2919549,2023-2024,Livelihood
Uttar Pradesh,Indore,Noorpur,MGNREGA,3457404,621977,2022-2023,Housing
Uttar Pradesh,Indore,Bhojpur,Jal Jeevan Mission,2295686,2099072,2022-2023,Water Supply
Uttar Pradesh,Ghaziabad,Kavi Nagar,PMAY-G,4949477,928250,2023-2024,Road Construction
Uttar Pradesh,Ghaziabad,Dhaulana,NRLM,1580367,870169,2022-2023,Sanitation
Uttar Pradesh,Pune,Modinagar Rural,Swachh Bharat,3940990,3508838,2023-2024,Housing
Uttar Pradesh,Patna,Hapur Road Village,Jal Jeevan Mission,670467,329623,2023-2024,Housing
Uttar Pradesh,Ghaziabad,Hapur Road Village,Swachh Bharat,1926016,516358,2023-2024,Sanitation
Uttar Pradesh,Indore,Dhaulana,Swachh Bharat,681452,657202,2024-2025,Housing
Uttar Pradesh,Jaipur,Dhaulana,Jal Jeevan Mission,3359038,436484,2023-2024,Road Construction
Uttar Pradesh,Jaipur,Muradnagar Village,MGNREGA,3419421,492982,2022-2023,Sanitation
Uttar Pradesh,Indore,Modinagar Rural,Swachh Bharat,4047646,2683852,2023-2024,Livelihood
Uttar Pradesh,Jaipur,Noorpur,MGNREGA,2130642,1047949,2023-2024,Road Construction
Uttar Pradesh,Pune,Hapur Road Village,NRLM,2712917,242914,2022-2023,Housing
Uttar Pradesh,Jaipur,Loni Dehat,MGNREGA,2830511,1480996,2024-2025,Housing
Uttar Pradesh,Indore,Hapur Road Village,NRLM,1174444,1084891,2022-2023,Housing
Uttar Pradesh,Pune,Hapur Road Village,Swachh Bharat,2620503,1156828,2022-2023,Road Construction
Uttar Pradesh,Ghaziabad,Bhojpur,Jal Jeevan Mission,1162114,880118,2024-2025,Housing
Uttar Pradesh,Pune,Hapur Road Village,MGNREGA,4648442,3499838,2024-2025,Water Supply
Uttar Pradesh,Jaipur,Dhaulana,MGNREGA,1335710,659865,2024-2025,Livelihood
Uttar Pradesh,Jaipur,Noorpur,Jal Jeevan Mission,3191424,2408837,2023-2024,Housing
Uttar Pradesh,Patna,Dhaulana,Swachh Bharat,854711,431011,2024-2025,Sanitation
Uttar Pradesh,Ghaziabad,Modinagar Rural,Jal Jeevan Mission,1369330,1361583,2023-2024,Water Supply
Uttar Pradesh,Ghaziabad,Kavi Nagar,PMAY-G,2289138,909103,2024-2025,Road Construction
Uttar Pradesh,Patna,Modinagar Rural,Swachh Bharat,823649,603970,2022-2023,Housing
Uttar Pradesh,Patna,Dhaulana,Jal Jeevan Mission,4458852,2637390,2024-2025,Road Construction
Uttar Pradesh,Pune,Dhaulana,NRLM,4627129,2090388,2024-2025,Road Construction
Uttar Pradesh,Indore,Bhojpur,PMAY-G,4127671,4055433,2023-2024,Road Construction
Uttar Pradesh,Pune,Dasna,PMAY-G,3888987,2941370,2023-2024,Water Supply
Uttar Pradesh,Patna,Kavi Nagar,Swachh Bharat,527833,374216,2022-2023,Livelihood
Uttar Pradesh,Ghaziabad,Noorpur,PMAY-G,1941459,1175035,2022-2023,Sanitation
Uttar Pradesh,Patna,Bhojpur,NRLM,3774747,1983879,2023-2024,Road Construction
Uttar Pradesh,Pune,Muradnagar Village,MGNREGA,3019182,361148,2023-2024,Road Construction
